[126/500] train loss=0.016531, nmse(dB)=-13.5924 | val loss=0.018920, nmse(dB)=-13.2822 | 0.7s
[127/500] train loss=0.016529, nmse(dB)=-13.5943 | val loss=0.019103, nmse(dB)=-13.2362 | 0.7s
[128/500] train loss=0.016591, nmse(dB)=-13.5727 | val loss=0.019066, nmse(dB)=-13.2504 | 0.7s
[129/500] train loss=0.016519, nmse(dB)=-13.5845 | val loss=0.019216, nmse(dB)=-13.1579 | 0.7s
[130/500] train loss=0.016550, nmse(dB)=-13.5755 | val loss=0.019100, nmse(dB)=-13.2259 | 0.7s
[131/500] train loss=0.016493, nmse(dB)=-13.6043 | val loss=0.019011, nmse(dB)=-13.2446 | 0.7s
[132/500] train loss=0.016550, nmse(dB)=-13.5867 | val loss=0.019006, nmse(dB)=-13.2570 | 0.7s
[133/500] train loss=0.016509, nmse(dB)=-13.5889 | val loss=0.019085, nmse(dB)=-13.2214 | 0.7s
[134/500] train loss=0.016530, nmse(dB)=-13.5634 | val loss=0.019032, nmse(dB)=-13.2514 | 0.7s
[135/500] train loss=0.016490, nmse(dB)=-13.5990 | val loss=0.019084, nmse(dB)=-13.2383 | 0.7s
[136/500] train loss=0.016460, nmse(dB)=-13.6190 | val loss=0.018978, nmse(dB)=-13.2786 | 0.7s
[137/500] train loss=0.016529, nmse(dB)=-13.5946 | val loss=0.018973, nmse(dB)=-13.2693 | 0.7s
[138/500] train loss=0.016417, nmse(dB)=-13.6271 | val loss=0.018986, nmse(dB)=-13.2682 | 0.7s
[139/500] train loss=0.016473, nmse(dB)=-13.6209 | val loss=0.019015, nmse(dB)=-13.2644 | 0.7s
[140/500] train loss=0.016422, nmse(dB)=-13.5982 | val loss=0.018972, nmse(dB)=-13.2561 | 0.7s
[141/500] train loss=0.016382, nmse(dB)=-13.6091 | val loss=0.019000, nmse(dB)=-13.2661 | 0.7s
[142/500] train loss=0.016434, nmse(dB)=-13.5930 | val loss=0.019038, nmse(dB)=-13.2518 | 0.7s
[143/500] train loss=0.016374, nmse(dB)=-13.6228 | val loss=0.018989, nmse(dB)=-13.2559 | 0.7s
[144/500] train loss=0.016409, nmse(dB)=-13.6011 | val loss=0.019173, nmse(dB)=-13.1970 | 0.7s
[145/500] train loss=0.016517, nmse(dB)=-13.5794 | val loss=0.019065, nmse(dB)=-13.2473 | 0.7s
[146/500] train loss=0.016361, nmse(dB)=-13.6243 | val loss=0.019071, nmse(dB)=-13.2206 | 0.7s
[147/500] train loss=0.016285, nmse(dB)=-13.6448 | val loss=0.019073, nmse(dB)=-13.2332 | 0.7s
[148/500] train loss=0.016369, nmse(dB)=-13.6222 | val loss=0.019051, nmse(dB)=-13.2413 | 0.7s
