[118/500] train loss=0.016299, nmse(dB)=-13.6363 | val loss=0.018956, nmse(dB)=-13.2906 | 0.7s
[119/500] train loss=0.016197, nmse(dB)=-13.6880 | val loss=0.018932, nmse(dB)=-13.2790 | 0.7s
[120/500] train loss=0.016226, nmse(dB)=-13.6889 | val loss=0.019004, nmse(dB)=-13.2511 | 0.7s
[121/500] train loss=0.016119, nmse(dB)=-13.6996 | val loss=0.019007, nmse(dB)=-13.2557 | 0.7s
[122/500] train loss=0.016091, nmse(dB)=-13.7060 | val loss=0.018908, nmse(dB)=-13.3001 | 0.7s
[123/500] train loss=0.016127, nmse(dB)=-13.6768 | val loss=0.019118, nmse(dB)=-13.2240 | 0.7s
[124/500] train loss=0.016117, nmse(dB)=-13.6853 | val loss=0.019086, nmse(dB)=-13.2325 | 0.7s
[125/500] train loss=0.016060, nmse(dB)=-13.7036 | val loss=0.019080, nmse(dB)=-13.2437 | 0.7s
[126/500] train loss=0.016044, nmse(dB)=-13.7198 | val loss=0.019081, nmse(dB)=-13.2260 | 0.7s
[127/500] train loss=0.016029, nmse(dB)=-13.7026 | val loss=0.018951, nmse(dB)=-13.2677 | 0.7s
[128/500] train loss=0.015986, nmse(dB)=-13.7196 | val loss=0.018888, nmse(dB)=-13.2863 | 0.7s
[129/500] train loss=0.015950, nmse(dB)=-13.7369 | val loss=0.019006, nmse(dB)=-13.2614 | 0.7s
[130/500] train loss=0.015952, nmse(dB)=-13.7071 | val loss=0.019058, nmse(dB)=-13.2230 | 0.7s
[131/500] train loss=0.016009, nmse(dB)=-13.7149 | val loss=0.019114, nmse(dB)=-13.2235 | 0.7s
[132/500] train loss=0.015854, nmse(dB)=-13.7591 | val loss=0.019011, nmse(dB)=-13.2629 | 0.7s
[133/500] train loss=0.015934, nmse(dB)=-13.7327 | val loss=0.019098, nmse(dB)=-13.2243 | 0.7s
[134/500] train loss=0.015881, nmse(dB)=-13.7397 | val loss=0.019028, nmse(dB)=-13.2617 | 0.7s
[135/500] train loss=0.015894, nmse(dB)=-13.7143 | val loss=0.018980, nmse(dB)=-13.2578 | 0.7s
[136/500] train loss=0.015866, nmse(dB)=-13.7511 | val loss=0.019009, nmse(dB)=-13.2696 | 0.7s
[137/500] train loss=0.015806, nmse(dB)=-13.7381 | val loss=0.019026, nmse(dB)=-13.2410 | 0.7s
[138/500] train loss=0.015737, nmse(dB)=-13.7577 | val loss=0.019267, nmse(dB)=-13.1720 | 0.7s
[139/500] train loss=0.015767, nmse(dB)=-13.7718 | val loss=0.019110, nmse(dB)=-13.2241 | 0.7s
[140/500] train loss=0.015681, nmse(dB)=-13.7704 | val loss=0.019006, nmse(dB)=-13.2608 | 0.7s
[141/500] train loss=0.015685, nmse(dB)=-13.7850 | val loss=0.019114, nmse(dB)=-13.2374 | 0.7s
[142/500] train loss=0.015673, nmse(dB)=-13.7589 | val loss=0.019007, nmse(dB)=-13.2330 | 0.7s
[143/500] train loss=0.015640, nmse(dB)=-13.7801 | val loss=0.018980, nmse(dB)=-13.2687 | 0.7s
[144/500] train loss=0.015507, nmse(dB)=-13.8123 | val loss=0.019013, nmse(dB)=-13.2727 | 0.7s
[145/500] train loss=0.015656, nmse(dB)=-13.7798 | val loss=0.019048, nmse(dB)=-13.2553 | 0.7s
[146/500] train loss=0.015596, nmse(dB)=-13.7896 | val loss=0.018969, nmse(dB)=-13.2793 | 0.7s
[147/500] train loss=0.015636, nmse(dB)=-13.7783 | val loss=0.018949, nmse(dB)=-13.2641 | 0.7s
[148/500] train loss=0.015546, nmse(dB)=-13.8023 | val loss=0.019013, nmse(dB)=-13.2715 | 0.7s
[149/500] train loss=0.015583, nmse(dB)=-13.8130 | val loss=0.019184, nmse(dB)=-13.2128 | 0.7s
[150/500] train loss=0.015461, nmse(dB)=-13.8200 | val loss=0.018985, nmse(dB)=-13.2744 | 0.7s
[151/500] train loss=0.015447, nmse(dB)=-13.8123 | val loss=0.019015, nmse(dB)=-13.2545 | 0.7s
[152/500] train loss=0.015466, nmse(dB)=-13.8349 | val loss=0.019051, nmse(dB)=-13.2570 | 0.7s
[153/500] train loss=0.015411, nmse(dB)=-13.8229 | val loss=0.019150, nmse(dB)=-13.2167 | 0.7s
[154/500] train loss=0.015338, nmse(dB)=-13.8330 | val loss=0.019073, nmse(dB)=-13.2590 | 0.7s
[155/500] train loss=0.015385, nmse(dB)=-13.8172 | val loss=0.019234, nmse(dB)=-13.1850 | 0.7s
[156/500] train loss=0.015350, nmse(dB)=-13.8425 | val loss=0.019255, nmse(dB)=-13.2016 | 0.7s
[157/500] train loss=0.015409, nmse(dB)=-13.8064 | val loss=0.019014, nmse(dB)=-13.2504 | 0.7s
[158/500] train loss=0.015407, nmse(dB)=-13.8101 | val loss=0.019196, nmse(dB)=-13.2076 | 0.7s
[159/500] train loss=0.015333, nmse(dB)=-13.8328 | val loss=0.019166, nmse(dB)=-13.2356 | 0.7s
[160/500] train loss=0.015301, nmse(dB)=-13.8660 | val loss=0.019219, nmse(dB)=-13.2277 | 0.7s
[161/500] train loss=0.015223, nmse(dB)=-13.8566 | val loss=0.018975, nmse(dB)=-13.2643 | 0.7s
[162/500] train loss=0.015234, nmse(dB)=-13.8565 | val loss=0.019094, nmse(dB)=-13.2492 | 0.7s
[163/500] train loss=0.015206, nmse(dB)=-13.8486 | val loss=0.019019, nmse(dB)=-13.2681 | 0.7s
[164/500] train loss=0.015164, nmse(dB)=-13.8676 | val loss=0.019029, nmse(dB)=-13.2579 | 0.7s
[165/500] train loss=0.015256, nmse(dB)=-13.8557 | val loss=0.019130, nmse(dB)=-13.2486 | 0.7s
[166/500] train loss=0.015170, nmse(dB)=-13.8794 | val loss=0.019089, nmse(dB)=-13.2599 | 0.7s
[167/500] train loss=0.015125, nmse(dB)=-13.8625 | val loss=0.019140, nmse(dB)=-13.2472 | 0.7s
[168/500] train loss=0.015017, nmse(dB)=-13.9284 | val loss=0.019101, nmse(dB)=-13.2477 | 0.7s
[169/500] train loss=0.015187, nmse(dB)=-13.8288 | val loss=0.019177, nmse(dB)=-13.2219 | 0.7s
[170/500] train loss=0.015065, nmse(dB)=-13.8914 | val loss=0.019273, nmse(dB)=-13.2167 | 0.7s
[171/500] train loss=0.015001, nmse(dB)=-13.9037 | val loss=0.019178, nmse(dB)=-13.2544 | 0.7s
[172/500] train loss=0.015016, nmse(dB)=-13.9165 | val loss=0.019187, nmse(dB)=-13.2382 | 0.7s
[173/500] train loss=0.014991, nmse(dB)=-13.9162 | val loss=0.019260, nmse(dB)=-13.2200 | 0.7s
[174/500] train loss=0.014939, nmse(dB)=-13.9002 | val loss=0.019183, nmse(dB)=-13.2118 | 0.7s
[175/500] train loss=0.014956, nmse(dB)=-13.8975 | val loss=0.019358, nmse(dB)=-13.1710 | 0.7s
[176/500] train loss=0.014950, nmse(dB)=-13.9011 | val loss=0.019217, nmse(dB)=-13.2387 | 0.7s
[177/500] train loss=0.014927, nmse(dB)=-13.8899 | val loss=0.019213, nmse(dB)=-13.2446 | 0.7s
[178/500] train loss=0.014951, nmse(dB)=-13.8971 | val loss=0.019349, nmse(dB)=-13.1973 | 0.7s
