=== LSTM | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[125/200] train loss=0.007741 nmse=-15.4402dB | val loss=0.022288 nmse=-10.9091dB | 0.8s
[126/200] train loss=0.007717 nmse=-15.4546dB | val loss=0.022302 nmse=-10.9092dB | 0.9s
[127/200] train loss=0.007668 nmse=-15.4806dB | val loss=0.022573 nmse=-10.8565dB | 0.8s
[128/200] train loss=0.007651 nmse=-15.4912dB | val loss=0.022381 nmse=-10.8946dB | 0.9s
[129/200] train loss=0.007610 nmse=-15.5154dB | val loss=0.022380 nmse=-10.8962dB | 1.0s
[130/200] train loss=0.007574 nmse=-15.5368dB | val loss=0.022486 nmse=-10.8724dB | 0.8s
[131/200] train loss=0.007542 nmse=-15.5538dB | val loss=0.022526 nmse=-10.8685dB | 0.8s
[132/200] train loss=0.007524 nmse=-15.5634dB | val loss=0.022695 nmse=-10.8301dB | 0.8s
[133/200] train loss=0.007496 nmse=-15.5806dB | val loss=0.022690 nmse=-10.8339dB | 0.9s
[134/200] train loss=0.007479 nmse=-15.5896dB | val loss=0.022680 nmse=-10.8333dB | 0.8s
[135/200] train loss=0.007444 nmse=-15.6093dB | val loss=0.022745 nmse=-10.8228dB | 0.8s
[136/200] train loss=0.007413 nmse=-15.6277dB | val loss=0.022551 nmse=-10.8641dB | 0.8s
[137/200] train loss=0.007388 nmse=-15.6427dB | val loss=0.022667 nmse=-10.8407dB | 0.9s
[138/200] train loss=0.007368 nmse=-15.6550dB | val loss=0.022757 nmse=-10.8192dB | 0.9s
[139/200] train loss=0.007338 nmse=-15.6735dB | val loss=0.022734 nmse=-10.8258dB | 0.8s
[140/200] train loss=0.007317 nmse=-15.6851dB | val loss=0.022518 nmse=-10.8699dB | 0.8s
[141/200] train loss=0.007281 nmse=-15.7064dB | val loss=0.022726 nmse=-10.8278dB | 1.0s
[142/200] train loss=0.007266 nmse=-15.7148dB | val loss=0.022934 nmse=-10.7893dB | 1.0s
[143/200] train loss=0.007255 nmse=-15.7216dB | val loss=0.022813 nmse=-10.8107dB | 0.8s
[144/200] train loss=0.007224 nmse=-15.7409dB | val loss=0.022812 nmse=-10.8123dB | 0.8s
[145/200] train loss=0.007198 nmse=-15.7564dB | val loss=0.022837 nmse=-10.8097dB | 0.8s
[146/200] train loss=0.007179 nmse=-15.7676dB | val loss=0.022810 nmse=-10.8160dB | 1.0s
[147/200] train loss=0.007161 nmse=-15.7782dB | val loss=0.022887 nmse=-10.7995dB | 0.9s
[148/200] train loss=0.007140 nmse=-15.7921dB | val loss=0.022887 nmse=-10.7994dB | 0.8s
[149/200] train loss=0.007118 nmse=-15.8051dB | val loss=0.022915 nmse=-10.7935dB | 0.8s
[150/200] train loss=0.007099 nmse=-15.8166dB | val loss=0.022854 nmse=-10.8051dB | 0.9s
[151/200] train loss=0.007085 nmse=-15.8240dB | val loss=0.022992 nmse=-10.7794dB | 0.9s
[152/200] train loss=0.007063 nmse=-15.8383dB | val loss=0.022937 nmse=-10.7915dB | 0.9s
[153/200] train loss=0.007049 nmse=-15.8464dB | val loss=0.023026 nmse=-10.7742dB | 0.8s
[154/200] train loss=0.007032 nmse=-15.8589dB | val loss=0.023029 nmse=-10.7699dB | 0.9s
[155/200] train loss=0.007032 nmse=-15.8569dB | val loss=0.023092 nmse=-10.7613dB | 0.8s
[156/200] train loss=0.007007 nmse=-15.8728dB | val loss=0.023066 nmse=-10.7673dB | 1.0s
[157/200] train loss=0.006997 nmse=-15.8796dB | val loss=0.022996 nmse=-10.7794dB | 0.9s
[158/200] train loss=0.006978 nmse=-15.8922dB | val loss=0.023127 nmse=-10.7564dB | 1.0s
[159/200] train loss=0.006966 nmse=-15.8984dB | val loss=0.023144 nmse=-10.7516dB | 0.8s
[160/200] train loss=0.006957 nmse=-15.9038dB | val loss=0.023211 nmse=-10.7373dB | 1.0s
[161/200] train loss=0.006943 nmse=-15.9138dB | val loss=0.023175 nmse=-10.7462dB | 0.9s
[162/200] train loss=0.006933 nmse=-15.9193dB | val loss=0.023261 nmse=-10.7286dB | 0.9s
[163/200] train loss=0.006925 nmse=-15.9239dB | val loss=0.023184 nmse=-10.7431dB | 0.9s
[164/200] train loss=0.006911 nmse=-15.9339dB | val loss=0.023311 nmse=-10.7205dB | 0.9s
[165/200] train loss=0.006897 nmse=-15.9418dB | val loss=0.023302 nmse=-10.7208dB | 0.9s
[166/200] train loss=0.006886 nmse=-15.9481dB | val loss=0.023067 nmse=-10.7704dB | 0.8s
