=== LSTM | Case1 SC-wise | scenes=1000 | train=377,856 | val=117,760 ===
[148/200] train loss=0.000845 nmse=-25.0368dB | val loss=0.024345 nmse=-10.4491dB | 7.0s
[149/200] train loss=0.000842 nmse=-25.0547dB | val loss=0.024440 nmse=-10.4322dB | 6.9s
[150/200] train loss=0.000838 nmse=-25.0766dB | val loss=0.024402 nmse=-10.4389dB | 6.8s
[151/200] train loss=0.000835 nmse=-25.0922dB | val loss=0.024371 nmse=-10.4444dB | 7.3s
[152/200] train loss=0.000830 nmse=-25.1138dB | val loss=0.024325 nmse=-10.4526dB | 7.4s
[153/200] train loss=0.000827 nmse=-25.1313dB | val loss=0.024359 nmse=-10.4466dB | 7.6s
[154/200] train loss=0.000824 nmse=-25.1485dB | val loss=0.024360 nmse=-10.4464dB | 8.0s
[155/200] train loss=0.000822 nmse=-25.1596dB | val loss=0.024379 nmse=-10.4429dB | 7.9s
[156/200] train loss=0.000818 nmse=-25.1821dB | val loss=0.024365 nmse=-10.4455dB | 7.9s
[157/200] train loss=0.000815 nmse=-25.1932dB | val loss=0.024340 nmse=-10.4499dB | 7.3s
[158/200] train loss=0.000812 nmse=-25.2127dB | val loss=0.024359 nmse=-10.4465dB | 7.7s
[159/200] train loss=0.000809 nmse=-25.2270dB | val loss=0.024388 nmse=-10.4414dB | 7.9s
[160/200] train loss=0.000807 nmse=-25.2386dB | val loss=0.024385 nmse=-10.4420dB | 7.6s
[161/200] train loss=0.000805 nmse=-25.2480dB | val loss=0.024308 nmse=-10.4556dB | 7.8s
[162/200] train loss=0.000803 nmse=-25.2615dB | val loss=0.024351 nmse=-10.4480dB | 7.8s
[163/200] train loss=0.000800 nmse=-25.2782dB | val loss=0.024397 nmse=-10.4397dB | 7.9s
[164/200] train loss=0.000798 nmse=-25.2843dB | val loss=0.024322 nmse=-10.4531dB | 7.9s
[165/200] train loss=0.000796 nmse=-25.2962dB | val loss=0.024316 nmse=-10.4542dB | 7.9s
[166/200] train loss=0.000793 nmse=-25.3131dB | val loss=0.024355 nmse=-10.4473dB | 7.7s
[167/200] train loss=0.000793 nmse=-25.3141dB | val loss=0.024334 nmse=-10.4510dB | 7.1s
[168/200] train loss=0.000790 nmse=-25.3297dB | val loss=0.024362 nmse=-10.4461dB | 7.2s
[169/200] train loss=0.000788 nmse=-25.3399dB | val loss=0.024308 nmse=-10.4556dB | 6.7s
[170/200] train loss=0.000787 nmse=-25.3473dB | val loss=0.024357 nmse=-10.4469dB | 6.9s
[171/200] train loss=0.000786 nmse=-25.3527dB | val loss=0.024312 nmse=-10.4549dB | 7.9s
[172/200] train loss=0.000784 nmse=-25.3649dB | val loss=0.024343 nmse=-10.4495dB | 7.9s
[173/200] train loss=0.000783 nmse=-25.3721dB | val loss=0.024325 nmse=-10.4526dB | 7.5s
[174/200] train loss=0.000781 nmse=-25.3786dB | val loss=0.024372 nmse=-10.4442dB | 6.8s
[175/200] train loss=0.000780 nmse=-25.3869dB | val loss=0.024347 nmse=-10.4486dB | 7.7s
[176/200] train loss=0.000777 nmse=-25.4010dB | val loss=0.024350 nmse=-10.4482dB | 7.4s
[177/200] train loss=0.000778 nmse=-25.3959dB | val loss=0.024347 nmse=-10.4487dB | 7.7s
[178/200] train loss=0.000777 nmse=-25.4029dB | val loss=0.024340 nmse=-10.4500dB | 7.8s
[179/200] train loss=0.000775 nmse=-25.4113dB | val loss=0.024294 nmse=-10.4581dB | 7.9s
[180/200] train loss=0.000774 nmse=-25.4170dB | val loss=0.024320 nmse=-10.4536dB | 7.9s
[181/200] train loss=0.000775 nmse=-25.4148dB | val loss=0.024316 nmse=-10.4542dB | 7.6s
[182/200] train loss=0.000772 nmse=-25.4289dB | val loss=0.024320 nmse=-10.4536dB | 7.1s
[183/200] train loss=0.000773 nmse=-25.4234dB | val loss=0.024331 nmse=-10.4515dB | 7.3s
[184/200] train loss=0.000773 nmse=-25.4271dB | val loss=0.024329 nmse=-10.4519dB | 7.0s
[185/200] train loss=0.000771 nmse=-25.4358dB | val loss=0.024330 nmse=-10.4518dB | 7.5s
[186/200] train loss=0.000771 nmse=-25.4345dB | val loss=0.024345 nmse=-10.4490dB | 7.2s
[187/200] train loss=0.000771 nmse=-25.4389dB | val loss=0.024349 nmse=-10.4483dB | 7.0s
[188/200] train loss=0.000770 nmse=-25.4436dB | val loss=0.024335 nmse=-10.4508dB | 7.1s
[189/200] train loss=0.000770 nmse=-25.4424dB | val loss=0.024324 nmse=-10.4529dB | 7.5s
[190/200] train loss=0.000769 nmse=-25.4462dB | val loss=0.024343 nmse=-10.4494dB | 7.0s
[191/200] train loss=0.000769 nmse=-25.4488dB | val loss=0.024337 nmse=-10.4505dB | 6.9s
[192/200] train loss=0.000769 nmse=-25.4469dB | val loss=0.024334 nmse=-10.4510dB | 7.5s
[193/200] train loss=0.000768 nmse=-25.4527dB | val loss=0.024338 nmse=-10.4503dB | 7.6s
[194/200] train loss=0.000768 nmse=-25.4514dB | val loss=0.024338 nmse=-10.4502dB | 7.1s
[195/200] train loss=0.000767 nmse=-25.4591dB | val loss=0.024327 nmse=-10.4523dB | 7.5s
[196/200] train loss=0.000768 nmse=-25.4529dB | val loss=0.024333 nmse=-10.4512dB | 7.7s
[197/200] train loss=0.000768 nmse=-25.4533dB | val loss=0.024334 nmse=-10.4510dB | 7.0s
[198/200] train loss=0.000768 nmse=-25.4554dB | val loss=0.024333 nmse=-10.4511dB | 7.6s
[199/200] train loss=0.000769 nmse=-25.4492dB | val loss=0.024336 nmse=-10.4506dB | 7.7s
[200/200] train loss=0.000768 nmse=-25.4522dB | val loss=0.024336 nmse=-10.4507dB | 7.0s

=== Done === 0h 24m 34s | Best epoch 1: val loss=0.016505 nmse=-12.1370dB
