[102/500] train loss=0.015999, nmse(dB)=-13.9358 | val loss=0.016174, nmse(dB)=-13.8089 | 13.4s
[103/500] train loss=0.015998, nmse(dB)=-13.9356 | val loss=0.016188, nmse(dB)=-13.7970 | 13.4s
[104/500] train loss=0.016063, nmse(dB)=-13.9229 | val loss=0.016186, nmse(dB)=-13.7958 | 13.2s
[105/500] train loss=0.016020, nmse(dB)=-13.9254 | val loss=0.016209, nmse(dB)=-13.7804 | 13.3s
[106/500] train loss=0.016005, nmse(dB)=-13.9286 | val loss=0.016208, nmse(dB)=-13.7881 | 13.7s
[107/500] train loss=0.016023, nmse(dB)=-13.9257 | val loss=0.016214, nmse(dB)=-13.7855 | 13.4s
[108/500] train loss=0.016012, nmse(dB)=-13.9304 | val loss=0.016222, nmse(dB)=-13.7818 | 13.2s
[109/500] train loss=0.016011, nmse(dB)=-13.9249 | val loss=0.016194, nmse(dB)=-13.7901 | 13.4s
[110/500] train loss=0.016005, nmse(dB)=-13.9275 | val loss=0.016185, nmse(dB)=-13.7943 | 14.0s
[111/500] train loss=0.016001, nmse(dB)=-13.9374 | val loss=0.016200, nmse(dB)=-13.7910 | 13.6s
[112/500] train loss=0.016037, nmse(dB)=-13.9258 | val loss=0.016227, nmse(dB)=-13.7758 | 13.4s
[113/500] train loss=0.016026, nmse(dB)=-13.9192 | val loss=0.016203, nmse(dB)=-13.7890 | 13.5s
[114/500] train loss=0.016013, nmse(dB)=-13.9262 | val loss=0.016187, nmse(dB)=-13.8025 | 13.4s
[115/500] train loss=0.016008, nmse(dB)=-13.9323 | val loss=0.016201, nmse(dB)=-13.7866 | 13.2s
[116/500] train loss=0.016059, nmse(dB)=-13.9217 | val loss=0.016190, nmse(dB)=-13.7977 | 13.5s
[117/500] train loss=0.016045, nmse(dB)=-13.9240 | val loss=0.016174, nmse(dB)=-13.8052 | 13.5s
[118/500] train loss=0.016030, nmse(dB)=-13.9295 | val loss=0.016198, nmse(dB)=-13.7953 | 13.7s
[119/500] train loss=0.015999, nmse(dB)=-13.9348 | val loss=0.016157, nmse(dB)=-13.8119 | 13.3s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@119: val loss=0.016157, val nmse(dB)=-13.8119
[120/500] train loss=0.015989, nmse(dB)=-13.9420 | val loss=0.016193, nmse(dB)=-13.7973 | 13.3s
[121/500] train loss=0.016038, nmse(dB)=-13.9236 | val loss=0.016199, nmse(dB)=-13.7982 | 13.4s
[122/500] train loss=0.016023, nmse(dB)=-13.9252 | val loss=0.016188, nmse(dB)=-13.8045 | 13.3s
[123/500] train loss=0.015986, nmse(dB)=-13.9458 | val loss=0.016191, nmse(dB)=-13.7954 | 13.2s
[124/500] train loss=0.016040, nmse(dB)=-13.9244 | val loss=0.016191, nmse(dB)=-13.7945 | 13.2s
[125/500] train loss=0.016054, nmse(dB)=-13.9249 | val loss=0.016212, nmse(dB)=-13.7868 | 13.2s
[126/500] train loss=0.016015, nmse(dB)=-13.9321 | val loss=0.016228, nmse(dB)=-13.7839 | 13.4s
[127/500] train loss=0.016021, nmse(dB)=-13.9270 | val loss=0.016199, nmse(dB)=-13.7975 | 13.2s
[128/500] train loss=0.016016, nmse(dB)=-13.9317 | val loss=0.016234, nmse(dB)=-13.7719 | 13.7s
[129/500] train loss=0.016007, nmse(dB)=-13.9334 | val loss=0.016169, nmse(dB)=-13.8075 | 13.2s
[130/500] train loss=0.016022, nmse(dB)=-13.9293 | val loss=0.016180, nmse(dB)=-13.8044 | 13.2s
[131/500] train loss=0.016013, nmse(dB)=-13.9369 | val loss=0.016221, nmse(dB)=-13.7787 | 13.3s
[132/500] train loss=0.015999, nmse(dB)=-13.9398 | val loss=0.016183, nmse(dB)=-13.7999 | 13.9s
[133/500] train loss=0.016020, nmse(dB)=-13.9318 | val loss=0.016192, nmse(dB)=-13.8026 | 14.0s
[134/500] train loss=0.016030, nmse(dB)=-13.9254 | val loss=0.016198, nmse(dB)=-13.8007 | 13.4s
[135/500] train loss=0.016039, nmse(dB)=-13.9254 | val loss=0.016217, nmse(dB)=-13.7907 | 13.6s
[136/500] train loss=0.016020, nmse(dB)=-13.9291 | val loss=0.016200, nmse(dB)=-13.7966 | 13.4s
[137/500] train loss=0.016012, nmse(dB)=-13.9328 | val loss=0.016219, nmse(dB)=-13.7867 | 13.2s
[138/500] train loss=0.015976, nmse(dB)=-13.9390 | val loss=0.016242, nmse(dB)=-13.7959 | 13.2s
[139/500] train loss=0.016022, nmse(dB)=-13.9323 | val loss=0.016260, nmse(dB)=-13.7906 | 13.2s
[140/500] train loss=0.016014, nmse(dB)=-13.9333 | val loss=0.016207, nmse(dB)=-13.7992 | 13.2s
[141/500] train loss=0.016000, nmse(dB)=-13.9387 | val loss=0.016187, nmse(dB)=-13.7941 | 13.7s
[142/500] train loss=0.016016, nmse(dB)=-13.9299 | val loss=0.016216, nmse(dB)=-13.7885 | 13.4s
