=== lwm_fromScratch | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[129/200] train loss=0.003306 nmse=-19.1363dB | val loss=0.025864 nmse=-10.3025dB | 5.0s
[130/200] train loss=0.003273 nmse=-19.1790dB | val loss=0.026009 nmse=-10.2742dB | 5.6s
[131/200] train loss=0.003261 nmse=-19.1943dB | val loss=0.025964 nmse=-10.2831dB | 5.5s
[132/200] train loss=0.003241 nmse=-19.2214dB | val loss=0.025870 nmse=-10.3004dB | 5.6s
[133/200] train loss=0.003215 nmse=-19.2575dB | val loss=0.026029 nmse=-10.2736dB | 4.8s
[134/200] train loss=0.003214 nmse=-19.2595dB | val loss=0.025867 nmse=-10.3001dB | 5.3s
[135/200] train loss=0.003187 nmse=-19.2941dB | val loss=0.026160 nmse=-10.2513dB | 4.9s
[136/200] train loss=0.003180 nmse=-19.3041dB | val loss=0.025917 nmse=-10.2918dB | 5.3s
[137/200] train loss=0.003153 nmse=-19.3412dB | val loss=0.025878 nmse=-10.2964dB | 4.9s
[138/200] train loss=0.003151 nmse=-19.3437dB | val loss=0.025838 nmse=-10.3065dB | 4.8s
[139/200] train loss=0.003134 nmse=-19.3679dB | val loss=0.025899 nmse=-10.2918dB | 4.8s
[140/200] train loss=0.003114 nmse=-19.3938dB | val loss=0.025946 nmse=-10.2859dB | 4.9s
[141/200] train loss=0.003108 nmse=-19.4044dB | val loss=0.025933 nmse=-10.2886dB | 5.3s
[142/200] train loss=0.003088 nmse=-19.4313dB | val loss=0.026001 nmse=-10.2780dB | 5.0s
[143/200] train loss=0.003069 nmse=-19.4603dB | val loss=0.025819 nmse=-10.3044dB | 5.4s
[144/200] train loss=0.003060 nmse=-19.4702dB | val loss=0.025936 nmse=-10.2862dB | 5.0s
[145/200] train loss=0.003043 nmse=-19.4947dB | val loss=0.026034 nmse=-10.2684dB | 4.9s
[146/200] train loss=0.003046 nmse=-19.4909dB | val loss=0.025915 nmse=-10.2905dB | 5.0s
[147/200] train loss=0.003019 nmse=-19.5316dB | val loss=0.025969 nmse=-10.2796dB | 5.4s
[148/200] train loss=0.003019 nmse=-19.5296dB | val loss=0.025958 nmse=-10.2831dB | 4.8s
[149/200] train loss=0.003014 nmse=-19.5365dB | val loss=0.026017 nmse=-10.2714dB | 5.3s
[150/200] train loss=0.003012 nmse=-19.5390dB | val loss=0.025977 nmse=-10.2780dB | 5.6s
[151/200] train loss=0.002979 nmse=-19.5862dB | val loss=0.025959 nmse=-10.2804dB | 5.7s
[152/200] train loss=0.002982 nmse=-19.5848dB | val loss=0.025952 nmse=-10.2839dB | 5.6s
[153/200] train loss=0.002974 nmse=-19.5958dB | val loss=0.026085 nmse=-10.2581dB | 5.5s
[154/200] train loss=0.002960 nmse=-19.6177dB | val loss=0.025925 nmse=-10.2853dB | 5.1s
[155/200] train loss=0.002958 nmse=-19.6200dB | val loss=0.026037 nmse=-10.2675dB | 5.0s
[156/200] train loss=0.002949 nmse=-19.6322dB | val loss=0.026015 nmse=-10.2705dB | 5.3s
[157/200] train loss=0.002935 nmse=-19.6532dB | val loss=0.026041 nmse=-10.2676dB | 5.3s
[158/200] train loss=0.002929 nmse=-19.6618dB | val loss=0.026132 nmse=-10.2519dB | 5.0s
[159/200] train loss=0.002932 nmse=-19.6581dB | val loss=0.025967 nmse=-10.2799dB | 5.6s
[160/200] train loss=0.002926 nmse=-19.6654dB | val loss=0.025949 nmse=-10.2825dB | 5.2s
[161/200] train loss=0.002916 nmse=-19.6817dB | val loss=0.025972 nmse=-10.2786dB | 4.9s
[162/200] train loss=0.002907 nmse=-19.6920dB | val loss=0.025936 nmse=-10.2847dB | 5.4s
[163/200] train loss=0.002906 nmse=-19.6954dB | val loss=0.026032 nmse=-10.2679dB | 5.2s
[164/200] train loss=0.002900 nmse=-19.7068dB | val loss=0.026085 nmse=-10.2592dB | 4.7s
[165/200] train loss=0.002892 nmse=-19.7169dB | val loss=0.026023 nmse=-10.2689dB | 5.1s
[166/200] train loss=0.002885 nmse=-19.7255dB | val loss=0.025906 nmse=-10.2893dB | 5.2s
[167/200] train loss=0.002888 nmse=-19.7220dB | val loss=0.026060 nmse=-10.2626dB | 5.1s
[168/200] train loss=0.002877 nmse=-19.7383dB | val loss=0.026094 nmse=-10.2570dB | 5.4s
[169/200] train loss=0.002883 nmse=-19.7296dB | val loss=0.026055 nmse=-10.2639dB | 4.9s
[170/200] train loss=0.002879 nmse=-19.7364dB | val loss=0.026133 nmse=-10.2503dB | 5.2s
[171/200] train loss=0.002859 nmse=-19.7666dB | val loss=0.025988 nmse=-10.2749dB | 5.8s
[172/200] train loss=0.002867 nmse=-19.7541dB | val loss=0.026009 nmse=-10.2705dB | 5.4s
[173/200] train loss=0.002858 nmse=-19.7677dB | val loss=0.026063 nmse=-10.2630dB | 5.2s
[174/200] train loss=0.002863 nmse=-19.7605dB | val loss=0.026031 nmse=-10.2679dB | 5.5s
[175/200] train loss=0.002851 nmse=-19.7787dB | val loss=0.026006 nmse=-10.2716dB | 5.0s
